code,scan_date,trade_date,scan_cond,trade_cond,today_rise,rb_score,ret_oc,ret_max,ret_low
338A,2025-12-30,2026-01-05,WEAK,NORMAL,-4.1,5,0.21,1.16,-1.68
338A,2026-02-13,2026-02-16,WEAK,NORMAL,-6.41,3,6.67,6.67,-0.5
3391,2026-01-08,2026-01-09,NORMAL,NORMAL,-6.33,6,-0.5,0.33,-4.61
3391,2026-03-06,2026-03-10,NORMAL,WEAK,-9.59,4,-0.59,0.9,-1.49
3392,2025-10-17,2025-10-20,WEAK,NORMAL,-4.38,4,-0.24,4.4,-0.24
3393,2026-02-13,2026-02-16,WEAK,NORMAL,-4.12,6,2.73,3.82,0.0
3399,2025-10-16,2025-10-17,NORMAL,WEAK,-4.5,6,0.6,1.58,-0.49
339A,2026-02-24,2026-02-25,NORMAL,NORMAL,-5.08,5,0.0,2.96,-0.07
3401,2025-11-05,2025-11-06,WEAK,NORMAL,-9.56,6,1.53,3.19,-0.25
3405,2025-11-13,2025-11-14,NORMAL,NORMAL,-5.84,7,0.95,1.43,-0.19
3409,2025-10-17,2025-10-20,WEAK,NORMAL,-5.56,5,3.87,4.52,0.0
3409,2025-11-20,2025-11-21,NORMAL,NORMAL,-6.02,8,1.6,2.4,-2.4
3409,2025-12-02,2025-12-03,WEAK,WEAK,-5.3,4,-5.26,3.76,-6.02
3409,2025-12-09,2025-12-10,NORMAL,NORMAL,-8.55,6,5.41,40.54,-0.9
340A,2025-10-15,2025-10-16,NORMAL,NORMAL,-4.82,10,-3.37,0.48,-5.54
340A,2026-01-14,2026-01-15,NORMAL,NORMAL,-12.64,5,-1.03,1.8,-2.06
3415,2025-10-08,2025-10-09,NORMAL,NORMAL,-5.43,4,1.38,1.61,-0.23
3415,2026-02-04,2026-02-05,NORMAL,NORMAL,-9.05,9,5.53,7.11,0.0
3417,2026-02-06,2026-02-09,NORMAL,NORMAL,-12.14,8,3.23,3.23,-0.16
341A,2025-10-16,2025-10-17,NORMAL,WEAK,-5.49,4,-1.44,3.02,-2.07
