type,score_min,score_max,ratio_min,ratio_max,rise_lo,rise_hi,rb_min,gap_max,tp,sl,cond,top_n,ls_min,vd_req,cd_min,in_sharpe,out_sharpe,out_n,out_wr,out_avg,out_cum,stable
AB(複合),0.6,5.5,0.0,50.0,-9.8,2.4,5.8,2.4,5.8,-5.5,STRONG,全件,0.06,0,0,5.0,4.257,514,61.7,0.611,314.0,★
AB(複合),0.0,10.0,0.0,3.8,-11.6,5.5,3.5,8.0,4.5,-7.0,STRONG,全件,0.08,0,1,5.0,4.253,1650,62.8,0.556,917.9,★
AB(複合),3.0,9.0,0.0,19.9,-5.6,9.6,5.3,6.0,8.7,-2.9,STRONG,全件,0.0,0,1,5.0,4.244,335,62.7,0.586,196.4,★
B(逆張り),1.4,6.8,0.0,9.2,-2.6,-0.5,2.4,6.0,7.9,-5.5,STRONG,全件,0.02,0,0,5.0,4.242,877,60.9,0.507,444.2,★
AB(複合),1.3,5.9,0.0,14.2,-13.9,1.6,2.2,5.7,3.6,-3.6,STRONG,全件,0.0,0,0,5.0,4.241,2527,61.9,0.489,1234.8,★
AB(複合),0.0,6.5,0.2,50.0,-15.0,10.0,4.3,7.0,5.0,-7.0,STRONG,全件,0.05,0,2,5.0,4.238,725,63.3,0.582,422.3,★
AB(複合),0.2,10.0,0.2,38.7,-15.0,9.9,1.9,8.5,9.0,-4.3,STRONG,全件,0.0,0,1,5.0,4.233,5275,62.5,0.576,3037.4,★
AB(複合),0.0,7.7,0.5,48.8,-15.0,3.8,3.4,2.6,7.3,-5.6,STRONG,全件,0.13,0,1,5.0,4.219,1275,62.0,0.56,713.7,★
AB(複合),0.0,6.3,0.0,16.0,-15.0,8.6,3.5,10.0,5.7,-3.4,STRONG,全件,0.04,0,0,5.0,4.207,2612,62.2,0.547,1428.7,★
AB(複合),0.2,7.0,0.0,49.7,-13.6,6.1,6.6,10.0,8.9,-6.0,STRONG,全件,0.14,0,0,5.0,4.19,400,63.0,0.715,286.0,★
AB(複合),0.0,6.1,0.4,3.0,-3.9,8.4,5.1,1.1,9.2,-7.0,STRONG,全件,0.23,0,1,5.0,4.176,160,63.1,0.601,96.2,★
AB(複合),0.0,6.4,1.8,14.7,-9.7,8.5,3.3,1.6,6.0,-5.4,STRONG,全件,0.04,0,0,5.0,4.172,609,64.0,0.565,344.0,★
AB(複合),0.0,10.0,2.7,27.3,-14.1,6.6,0.1,-0.5,8.1,-5.9,STRONG,全件,0.07,0,1,5.0,4.171,130,63.1,0.963,125.2,★
AB(複合),0.0,6.0,0.5,3.0,-11.8,2.4,2.8,5.3,10.0,-4.1,STRONG,全件,0.04,0,3,5.0,4.163,927,62.7,0.53,491.1,★
AB(複合),2.2,8.7,0.6,44.6,-12.9,1.8,4.7,7.5,7.1,-6.5,STRONG,全件,0.0,0,2,5.0,4.145,600,61.7,0.63,378.1,★
AB(複合),0.0,8.6,0.1,27.8,-7.2,7.7,5.2,3.0,2.9,-6.3,STRONG,全件,0.03,0,2,5.0,4.141,439,63.3,0.51,224.1,★
AB(複合),0.7,9.5,0.3,11.4,-13.8,3.1,3.8,7.9,9.5,-7.0,STRONG,全件,0.17,0,0,5.0,4.14,1640,61.5,0.567,929.9,★
AB(複合),0.0,6.1,0.0,49.5,-5.8,7.7,2.9,3.1,7.5,-2.2,STRONG,全件,0.23,0,2,5.0,4.117,813,58.7,0.491,399.1,★
AB(複合),0.0,6.8,0.3,8.2,-6.0,4.8,3.2,9.4,8.9,-3.4,STRONG,全件,0.0,0,1,5.0,4.097,1972,62.0,0.516,1017.8,★
AB(複合),0.0,10.0,0.0,42.6,-15.0,1.8,3.6,10.0,6.7,-3.2,STRONG,全件,0.0,0,0,5.0,4.091,3198,61.7,0.541,1731.0,★
AB(複合),0.2,9.3,0.9,44.3,-13.0,10.0,5.0,3.4,5.1,-4.5,STRONG,全件,0.0,0,0,5.0,4.084,1680,61.6,0.555,933.2,★
AB(複合),0.1,8.1,0.0,39.3,-5.4,8.0,6.5,3.7,7.4,-4.4,STRONG,全件,0.0,0,1,5.0,4.082,379,60.2,0.568,215.2,★
AB(複合),0.0,8.4,0.9,21.4,-9.7,6.0,2.3,10.0,5.6,-7.0,STRONG,全件,0.19,0,2,5.0,4.075,1004,62.1,0.53,532.2,★
AB(複合),0.2,10.0,0.0,3.0,-14.6,6.8,6.1,8.2,9.2,-5.4,STRONG,全件,0.22,0,0,5.0,4.071,282,64.2,0.684,192.9,★
AB(複合),1.8,10.0,0.0,7.0,-9.3,3.5,2.0,2.3,2.4,-5.8,STRONG,全件,0.1,0,0,5.0,4.055,1883,62.6,0.446,839.9,★
AB(複合),0.0,7.0,2.2,5.4,-5.3,8.9,3.6,-0.4,3.9,-2.9,STRONG,全件,0.0,0,0,5.0,4.042,85,62.4,0.576,48.9,★
AB(複合),1.2,8.1,1.0,31.6,-8.0,10.0,4.2,4.9,10.0,-3.8,STRONG,全件,0.09,0,0,5.0,4.022,937,61.3,0.576,539.6,★
AB(複合),0.0,9.7,0.8,50.0,-9.5,2.0,4.1,6.3,2.6,-5.8,STRONG,全件,0.01,0,0,5.0,4.017,1495,63.2,0.469,700.5,★
AB(複合),3.4,10.0,2.9,17.8,-6.7,8.0,6.6,7.2,9.1,-4.5,STRONG,全件,0.05,0,0,5.0,4.003,109,61.5,0.585,63.7,★
AB(複合),2.1,7.4,2.6,13.0,-15.0,7.3,4.7,7.9,7.7,-3.6,STRONG,全件,0.16,0,0,5.0,3.992,215,62.8,0.578,124.2,★
AB(複合),1.4,8.0,0.6,45.3,-15.0,9.6,3.8,8.3,5.3,-6.8,STRONG,全件,0.06,0,0,5.0,3.967,1774,61.7,0.547,970.4,★
B(逆張り),1.7,6.1,0.7,46.3,-5.9,-0.4,2.9,3.3,3.0,-0.5,STRONG,全件,0.0,0,2,5.0,3.952,784,37.4,0.294,230.2,★
AB(複合),0.6,4.2,1.1,24.8,-11.8,3.3,1.9,4.6,7.8,-5.4,STRONG,全件,0.19,0,1,5.0,3.929,1016,59.9,0.511,519.1,★
AB(複合),0.0,8.2,1.2,18.8,-2.3,10.0,1.1,4.1,8.7,-4.3,STRONG,全件,0.23,0,1,5.0,3.914,849,59.0,0.488,414.3,★
AB(複合),0.0,6.4,0.8,3.6,-10.3,6.9,3.1,7.6,3.5,-5.7,STRONG,全件,0.13,0,3,5.0,3.895,516,62.2,0.46,237.3,★
AB(複合),2.5,8.4,0.0,35.8,-12.0,9.0,5.4,6.1,8.6,-2.9,STRONG,全件,0.0,0,0,5.0,3.887,704,61.9,0.608,427.9,★
AB(複合),0.7,6.8,0.2,14.1,-11.3,5.2,6.4,7.2,9.8,-5.8,STRONG,全件,0.0,0,0,5.0,3.858,562,60.9,0.624,350.6,★
AB(複合),0.7,5.7,0.3,22.3,-11.0,10.0,2.5,4.3,6.0,-7.0,STRONG,全件,0.24,0,1,5.0,3.84,985,60.5,0.49,482.2,★
AB(複合),0.1,6.3,0.7,44.7,-15.0,1.9,5.5,8.5,6.8,-7.0,STRONG,全件,0.1,0,2,5.0,3.767,375,62.4,0.575,215.5,★
AB(複合),0.0,9.0,0.0,8.7,-15.0,3.2,5.1,2.6,10.0,-7.0,STRONG,全件,0.32,0,1,5.0,3.743,262,61.5,0.562,147.3,★
AB(複合),1.2,8.3,0.0,50.0,-10.4,6.2,4.7,3.8,2.5,-7.0,STRONG,全件,0.01,0,0,5.0,3.727,1218,63.5,0.462,562.2,★
AB(複合),0.0,10.0,0.0,36.6,-15.0,7.8,5.8,7.4,3.6,-6.7,STRONG,全件,0.0,0,1,5.0,3.719,991,60.6,0.522,516.8,★
AB(複合),0.9,8.6,0.2,22.6,-9.4,9.4,8.0,10.0,6.5,-6.1,STRONG,全件,0.04,0,2,5.0,3.719,164,59.1,0.608,99.7,★
