drop_lo,drop_hi,rb_min,gap_max,condition,exit,n,wr,avg,sharpe,max_dd,cum
-5.0,-4.0,5,0.0,STRONG,引け決済,65,69.2,1.336,9.31,-5.8,86.9
-6.0,-5.0,5,0.0,STRONG,TP+5%/SL-5%,38,71.1,1.178,9.28,-5.1,44.8
-5.0,-4.0,6,0.0,STRONG,TP+5%/SL-5%,40,70.0,1.36,9.27,-4.7,54.4
-7.0,-5.0,4,0.0,STRONG,TP+2%/SL-2%,89,73.0,0.896,9.18,-7.0,79.7
-7.0,-5.0,4,0.0,STRONG,TP+5%/SL-3%,89,73.0,1.338,9.17,-10.3,119.1
-7.0,-6.0,4,0.0,STRONG,TP+5%/SL-3%,32,71.9,1.534,9.16,-6.2,49.1
-7.0,-4.0,4,0.0,STRONG,TP+5%/SL-5%,179,74.3,1.305,9.05,-9.7,233.6
-6.0,-4.0,5,0.0,STRONG,引け決済,103,69.9,1.391,8.98,-5.8,143.3
-5.0,-4.0,6,0.0,STRONG,TP+5%/SL-3%,40,67.5,1.312,8.95,-4.4,52.5
-6.0,-4.0,5,0.0,STRONG,TP+3%/SL-3%,103,68.9,1.074,8.91,-6.5,110.6
-8.0,-4.0,4,0.0,STRONG,TP+3%/SL-3%,211,70.6,1.072,8.88,-7.7,226.3
-6.0,-4.0,6,0.0,STRONG,TP+3%/SL-3%,62,67.7,1.056,8.85,-4.7,65.5
-7.0,-4.0,4,0.0,STRONG,TP+5%/SL-3%,179,72.6,1.238,8.75,-7.5,221.6
-6.0,-4.0,5,0.0,STRONG,TP+5%/SL-5%,103,69.9,1.208,8.74,-7.1,124.5
-6.0,-4.0,4,0.0,STRONG,TP+5%/SL-3%,147,72.8,1.174,8.71,-8.4,172.5
-7.0,-6.0,4,0.0,STRONG,引け決済,32,75.0,1.429,8.71,-4.9,45.7
-5.0,-4.0,4,0.0,STRONG,TP+5%/SL-5%,90,73.3,1.177,8.7,-6.5,105.9
-6.0,-5.0,2,0.0,STRONG,TP+3%/SL-3%,95,68.4,0.993,8.65,-7.9,94.3
-6.0,-5.0,5,0.0,STRONG,引け決済,38,71.1,1.485,8.61,-5.0,56.4
-7.0,-4.0,5,0.0,STRONG,引け決済,127,70.1,1.363,8.58,-5.8,173.2
-6.0,-3.0,4,0.0,STRONG,TP+3%/SL-3%,330,71.8,0.972,8.54,-6.6,320.9
-5.0,-4.0,5,0.0,STRONG,TP+5%/SL-5%,65,69.2,1.226,8.49,-6.5,79.7
-7.0,-3.0,4,0.0,STRONG,TP+3%/SL-3%,362,71.8,0.985,8.48,-7.3,356.5
-7.0,-6.0,4,0.0,STRONG,TP+2%/SL-2%,32,75.0,0.873,8.43,-5.7,27.9
-6.0,-3.0,4,0.0,STRONG,TP+5%/SL-5%,330,72.7,1.115,8.39,-6.3,368.1
