code4,name,last_close_yen
6555,ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,417.0
6472,ＮＴＮ,417.8999938964844
2931,ユーグレナ,418.0
4293,セプテーニ・ホールディングス,418.0
9380,東海運,418.0
3793,ドリコム,418.0
7022,サノヤスホールディングス,419.0
7865,ピープル,419.0
4880,セルソース,419.0
3238,セントラル総合開発,420.0
7625,グローバルダイニング,420.0
7217,テイン,420.0
4689,ＬＩＮＥヤフー,420.20001220703125
4056,ニューラルグループ,421.0
4422,ＶＡＬＵＥＮＥＸ,422.0
4379,Ｐｈｏｔｏｓｙｎｔｈ,422.0
6625,ＪＡＬＣＯホールディングス,423.0
3646,駅探,424.0
5884,クラダシ,424.0
7247,ミクニ,424.0
6334,明治機械,425.0
6897,ツインバード,426.0
1699,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ　原油インデックス連動型上場投信,426.6000061035156
4442,バルテス・ホールディングス,427.0
7066,ピアズ,429.0
5886,ＯＯＫＡＢＥ　ＧＬＡＳＳ,430.0
2323,ｆｏｎｆｕｎ,431.0
3895,ハビックス,432.0
5704,ＪＭＣ,433.0
1786,オリエンタル白石,433.0
2373,ケア２１,434.0
5535,ミガロホールディングス,436.0
9444,トーシンホールディングス,436.0
7686,ひとまいる,439.0
7702,ＪＭＳ,442.0
5035,ＨＯＵＳＥＩ,442.0
4240,クラスターテクノロジー,444.0
2337,いちご,444.0
3679,じげん,444.0
6185,ＳＭＮ,445.0
3835,ｅＢＡＳＥ,445.0
3668,コロプラ,445.0
8927,明豊エンタープライズ,446.0
5130,ヒロホールディングス,447.0
4388,エーアイ,448.0
3422,Ｊ－ＭＡＸ,448.0
3986,ビーブレイクシステムズ,449.0
4645,市進ホールディングス,450.0
2978,ツクルバ,450.0
3067,東京一番フーズ,452.0
2162,ｎｍｓ　ホールディングス,453.0
2317,システナ,455.0
7291,日本プラスト,456.0
4014,カラダノート,457.0
7211,三菱自動車工業,457.79998779296875
4237,フジプレアム,459.0
4053,Ｓｕｎ　Ａｓｔｅｒｉｓｋ,459.0
9478,ＳＥホールディングス・アンド・インキュベーションズ,460.0
6171,土木管理総合試験所,462.0
5282,ジオスター,462.0
8289,Ｏｌｙｍｐｉｃグループ,462.0
3726,フォーシーズＨＤ,464.0
7176,シンプレクス・ファイナンシャル・ホールディングス,464.0
2876,デルソーレ,465.0
7422,東邦レマック,465.0
2139,中広,465.0
7213,レシップホールディングス,465.0
1447,ＳＡＡＦホールディングス,466.0
9561,グラッドキューブ,466.0
9929,平和紙業,466.0
4657,環境管理センター,466.0
3077,ホリイフードサービス,467.0
4287,ジャストプランニング,469.0
7205,日野自動車,469.0
6867,リーダー電子,469.0
4397,チームスピリット,470.0
5258,トランザクション・メディア・ネットワークス,470.0
4436,ミンカブ・ジ・インフォノイド,470.0
3660,アイスタイル,471.0
7689,コパ・コーポレーション,471.0
3370,フジタコーポレーション,472.0
2491,バリューコマース,474.0
