verify_date,scan_date,code,name,score,ratio,morning_judgment,open_price,close_price,result_pct,grade,is_top20,market_condition,high_price,max_rise_pct,day1_pct,day2_pct,day3_pct,day4_pct,day5_pct,max_ret_5d,max_ret_day,exit_reason,exit_day,exit_pct
2026-03-17,2026-03-16,8835,太平洋興発,7.53,4.6,PASS,900.0,896.0,-0.44,FAIL,0,NORMAL,,,-0.44,0.22,-1.44,7.22,7.22,7.22,4,利確+3%,4,7.22
2026-03-17,2026-03-16,7375,リファインバースグループ,7.46,4.39,PASS,1013.0,1057.0,4.34,B,0,NORMAL,,,4.34,0.99,7.9,16.09,16.09,16.09,4,利確+3%,1,4.34
2026-03-17,2026-03-16,6336,石井表記,7.46,4.38,PASS,923.0,906.0,-1.84,FAIL,0,NORMAL,,,-1.84,5.53,3.58,-4.66,-4.66,5.53,2,利確+3%,2,5.53
2026-03-17,2026-03-16,4263,サスメド,7.45,5.18,PASS,1000.0,968.0,-3.2,FAIL,0,NORMAL,,,-3.2,1.4,-4.0,-11.8,-11.8,1.4,2,損切り-5%,4,-11.8
2026-03-18,2026-03-17,6190,フェニックスバイオ,10.0,13.53,CAUTION,484.0,482.0,-0.41,FLAT,0,WEAK,485.0,0.21,-0.41,-5.99,-12.4,-12.4,-9.92,-0.41,1,損切り-5%,2,-5.99
2026-03-18,2026-03-17,3113,ＵＮＩＶＡ・Ｏａｋホールディングス,10.0,17.48,PASS,82.0,81.0,-1.22,B,0,WEAK,85.0,3.66,-1.22,-2.44,-6.1,-6.1,-1.22,-1.22,1,損切り-5%,3,-6.1
2026-03-18,2026-03-17,9262,シルバーライフ,9.12,9.36,CAUTION,879.0,888.0,1.02,FLAT,0,WEAK,888.0,1.02,1.02,1.37,-2.28,-2.28,0.57,1.37,2,引け(day5),5,0.57
2026-03-18,2026-03-17,5965,フジマック,8.7,8.1,BUY,1237.0,1240.0,0.24,FLAT,0,WEAK,1240.0,0.24,0.24,-0.81,-2.34,-2.34,1.7,1.7,5,引け(day5),5,1.7
2026-03-18,2026-03-17,9959,アシードホールディングス,8.53,7.58,BUY,1200.0,1250.0,4.17,A,0,WEAK,1280.0,6.67,4.17,-4.25,-5.5,-5.5,-8.75,4.17,1,利確+3%,1,4.17
2026-03-18,2026-03-17,2286,林兼産業,8.34,7.03,BUY,1004.0,1022.0,1.79,FLAT,0,WEAK,1023.0,1.89,1.79,-0.7,-3.98,-3.98,-2.89,1.79,1,引け(day5),5,-2.89
