buy_date,code,name,today_rise,buy_price,score,ratio,market_condition,next_rise,next_open,next_close,rebound_score,rebound_reason
2026-03-19,6907,ジオマテック,-8.22,949.0,-5.12,0.24,PANIC,-5.36,859.0,813.0,6.0,RSIやや低め(31) / 出来高やや増(1.5倍) / MA25大幅下離れ(-20.2%)
2026-03-19,2330,フォーサイド,-8.06,114.0,5.55,0.84,PANIC,-1.77,113.0,111.0,5.0,RSI中立(45) / 出来高増加(2.0倍) / MA25下離れ(-12.2%)
2026-03-19,7615,京都きもの友禅ホールディングス,-8.0,138.0,0.63,0.42,PANIC,-4.44,135.0,129.0,6.0,RSIやや低め(33) / 出来高急増(4.0倍)売り枯れ示唆 / MA25やや下離れ(-9.0%)
2026-03-19,4885,室町ケミカル,-7.65,1026.0,0.68,0.9,PANIC,-2.2,1000.0,978.0,5.0,RSI売られ過ぎ(24) / MA25下離れ(-12.8%)
2026-03-19,6620,宮越ホールディングス,-7.54,589.0,-0.9,0.75,PANIC,-3.51,570.0,550.0,10.0,RSI極度売られ過ぎ(11) / 出来高急増(5.2倍)売り枯れ示唆 / MA25大幅下離れ(-22.0%)
2026-03-19,4889,レナサイエンス,-7.45,1738.0,-0.73,1.08,PANIC,0.63,1584.0,1594.0,3.0,RSI中立(48) / 出来高やや増(1.7倍) / MA25やや下離れ(-6.4%)
2026-03-19,5010,日本精蝋,-7.17,272.0,3.08,0.32,PANIC,-6.23,273.0,256.0,3.0,RSI売られ過ぎ(30)
2026-03-19,3692,ＦＦＲＩセキュリティ,-7.08,6960.0,-0.78,0.44,PANIC,-1.65,6660.0,6550.0,4.0,RSI中立(41) / MA25大幅下離れ(-16.2%)
2026-03-19,7383,ネットプロテクションズホールディングス,-6.9,351.0,7.07,3.21,PANIC,-0.6,335.0,333.0,7.0,RSIやや低め(30) / 出来高増加(2.5倍) / MA25大幅下離れ(-26.8%)
2026-03-19,206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,-6.7,181.0,-3.76,0.42,PANIC,-1.17,171.0,169.0,3.0,RSI中立(42) / MA25下離れ(-10.4%)
2026-03-19,7955,クリナップ,-6.69,962.0,-1.15,0.44,PANIC,-1.35,963.0,950.0,5.0,RSIやや低め(37) / 出来高増加(2.0倍) / MA25やや下離れ(-5.2%)
2026-03-19,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,-6.67,2940.0,6.47,3.34,PANIC,1.8,2840.0,2891.0,3.0,出来高急増(5.5倍)売り枯れ示唆
2026-03-19,2183,リニカル,-6.67,280.0,-1.61,0.34,PANIC,-4.3,279.0,267.0,8.0,RSI売られ過ぎ(23) / 出来高急増(12.4倍)売り枯れ示唆 / MA25下離れ(-10.7%)
2026-03-19,4027,テイカ,-6.44,1569.0,-2.94,0.59,PANIC,-0.86,1520.0,1507.0,3.0,RSI中立(42) / 出来高やや増(1.9倍) / MA25やや下離れ(-7.5%)
2026-03-19,6366,千代田化工建設,-6.29,1148.0,6.78,2.34,PANIC,-4.47,1052.0,1005.0,6.0,RSIやや低め(39) / 出来高増加(2.0倍) / MA25下離れ(-12.8%)
2026-03-19,3189,ＡＮＡＰホールディングス,-6.25,210.0,0.17,0.82,PANIC,0.49,204.0,205.0,9.0,RSI極度売られ過ぎ(18) / 出来高急増(3.5倍)売り枯れ示唆 / MA25下離れ(-13.2%)
2026-03-19,3946,トーモク,-6.25,3375.0,-0.51,0.65,PANIC,0.45,3315.0,3330.0,6.0,RSI売られ過ぎ(28) / 出来高急増(4.6倍)売り枯れ示唆
2026-03-19,6840,ＡＫＩＢＡホールディングス,-6.09,478.0,1.75,0.66,PANIC,-4.19,454.0,435.0,4.0,RSIやや低め(34) / MA25下離れ(-10.0%)
2026-03-19,3185,夢展望,-6.0,235.0,-1.55,0.39,PANIC,2.61,230.0,236.0,4.0,RSI中立(49) / 出来高急増(5.9倍)売り枯れ示唆
2026-03-19,3891,ニッポン高度紙工業,-5.8,3735.0,-2.34,0.31,PANIC,-0.85,3525.0,3495.0,3.0,RSIやや低め(34) / MA25やや下離れ(-5.3%)
2026-03-19,4591,リボミック,-5.71,99.0,-3.8,0.22,PANIC,-1.09,92.0,91.0,3.0,出来高急増(4.5倍)売り枯れ示唆
2026-03-19,3941,レンゴー,-5.68,1261.0,-1.51,0.66,PANIC,-2.01,1245.5,1220.5,7.0,RSI売られ過ぎ(23) / 出来高増加(2.4倍) / MA25下離れ(-12.9%)
2026-03-19,3441,山王,-5.66,2435.0,9.96,11.87,PANIC,-0.79,2285.0,2267.0,3.0,出来高急増(4.8倍)売り枯れ示唆
2026-03-19,325A,ＴＥＮＴＩＡＬ,-5.57,3475.0,-0.12,0.63,PANIC,-1.95,3340.0,3275.0,6.0,RSI売られ過ぎ(29) / 出来高やや増(2.0倍) / MA25下離れ(-12.4%)
2026-03-19,4587,ペプチドリーム,-5.52,1197.5,-1.59,0.61,PANIC,1.09,1149.5,1162.0,8.0,RSIやや低め(39) / 出来高急増(3.4倍)売り枯れ示唆 / MA25大幅下離れ(-16.0%)
2026-03-19,2778,パレモ・ホールディングス,-5.51,120.0,6.66,1.97,PANIC,-2.52,119.0,116.0,9.0,RSI極度売られ過ぎ(17) / 出来高増加(2.0倍) / MA25大幅下離れ(-17.8%)
